SMILES,valid,MolWt,QED,LogP,target_query,retrieved_examples
CC(C)CC1=CC=C=C(C=C1)CCCC2=C(C2)C3=CC=CC=C3,True,302.46099999999996,0.49527200371565006,6.638000000000006,EGFR inhibitor,CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3.CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3|CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])CN(C)CCN(C)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-]|COC(=O)/C=C(/C1=C(C=C(C=C1)Cl)Cl)\O
CC(C)CC(=O)C(=O)C1=CC=C(C=C1)CC3=CC=C(C=C2)C3=CC=CC=C3,False,,,,EGFR inhibitor,CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3.CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3|CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])CN(C)CCN(C)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-]|COC(=O)/C=C(/C1=C(C=C(C=C1)Cl)Cl)\O
COC(=O)C,True,74.07900000000001,0.38296659073251405,0.1792999999999999,EGFR inhibitor,CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3.CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3|CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])CN(C)CCN(C)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-]|COC(=O)/C=C(/C1=C(C=C(C=C1)Cl)Cl)\O
CC(CC1)N,False,,,,EGFR inhibitor,CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3.CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3|CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])CN(C)CCN(C)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-]|COC(=O)/C=C(/C1=C(C=C(C=C1)Cl)Cl)\O
CCC1=CC=C(C=C1OC=C(C=CC2=CC=C3)C3=CC=CC(=C3C=C4)N),False,,,,EGFR inhibitor,CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3.CCC1=C2COC(=O)C2=C(S1)C3=CC=CC=C3|CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])CN(C)CCN(C)CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-]|COC(=O)/C=C(/C1=C(C=C(C=C1)Cl)Cl)\O
C1=C(C=CC=C1Cl),True,112.559,0.4833833263681997,2.34,Serotonin receptor antagonist,B1(C2=CC=CC=C2C3=CC=CC=C31)C4=CC=CC=C4C5=CC=CC=C5B6C7=CC=CC=C7C8=CC=CC=C68|C1=C(NC(=O)NC1=O)C(F)(F)F.O|CN(C1=CC=CC=C1)C(=O)N(C)C2=CC(=CC=C2)N(C)C(=O)N(C)C3=CC=CC=C3
B1(C2=CC=CC=C3),False,,,,Serotonin receptor antagonist,B1(C2=CC=CC=C2C3=CC=CC=C31)C4=CC=CC=C4C5=CC=CC=C5B6C7=CC=CC=C7C8=CC=CC=C68|C1=C(NC(=O)NC1=O)C(F)(F)F.O|CN(C1=CC=CC=C1)C(=O)N(C)C2=CC(=CC=C2)N(C)C(=O)N(C)C3=CC=CC=C3
C1=C(C=CC=C1)C2=CC=C(C=C2O),True,170.21099999999998,0.6969384886852024,3.059200000000001,Serotonin receptor antagonist,B1(C2=CC=CC=C2C3=CC=CC=C31)C4=CC=CC=C4C5=CC=CC=C5B6C7=CC=CC=C7C8=CC=CC=C68|C1=C(NC(=O)NC1=O)C(F)(F)F.O|CN(C1=CC=CC=C1)C(=O)N(C)C2=CC(=CC=C2)N(C)C(=O)N(C)C3=CC=CC=C3
C1=C(C(=NN=C1)C(=O)O),True,124.09899999999996,0.5793868095192009,0.1747999999999999,Serotonin receptor antagonist,B1(C2=CC=CC=C2C3=CC=CC=C31)C4=CC=CC=C4C5=CC=CC=C5B6C7=CC=CC=C7C8=CC=CC=C68|C1=C(NC(=O)NC1=O)C(F)(F)F.O|CN(C1=CC=CC=C1)C(=O)N(C)C2=CC(=CC=C2)N(C)C(=O)N(C)C3=CC=CC=C3
B1(C2=CC=CC=C2)C(=O)C3=CC=CC=C3,False,,,,Serotonin receptor antagonist,B1(C2=CC=CC=C2C3=CC=CC=C31)C4=CC=CC=C4C5=CC=CC=C5B6C7=CC=CC=C7C8=CC=CC=C68|C1=C(NC(=O)NC1=O)C(F)(F)F.O|CN(C1=CC=CC=C1)C(=O)N(C)C2=CC(=CC=C2)N(C)C(=O)N(C)C3=CC=CC=C3
C1=CC=CC=C1C=CN(CCCCCC=CNCCC=CC3=C=CC=C3C2=CC=CC=C2)C3=CC=CC=C3C2=CC=CC=C32,False,,,,Cyclooxygenase-2 inhibitor,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N|C1=CC=C(C=C1)P(C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)[O-]|CC(=O)[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].[Mn+3]
CC(=O)N(CCCN(CC(=O)N1)),False,,,,Cyclooxygenase-2 inhibitor,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N|C1=CC=C(C=C1)P(C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)[O-]|CC(=O)[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].[Mn+3]
COC1=CC=C(C=C1)N,True,123.15499999999999,0.5706913849970715,1.2773999999999999,Cyclooxygenase-2 inhibitor,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N|C1=CC=C(C=C1)P(C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)[O-]|CC(=O)[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].[Mn+3]
CC(=OCC(=O)N)C)C(=O,False,,,,Cyclooxygenase-2 inhibitor,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N|C1=CC=C(C=C1)P(C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)[O-]|CC(=O)[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].[Mn+3]
COC1=CC=C(C=C1)CCC2=NC3=CC=CC=C2,False,,,,Cyclooxygenase-2 inhibitor,COC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N|C1=CC=C(C=C1)P(C2=CC=CC=C2)C(P(C3=CC=CC=C3)C4=CC=CC=C4)S(=O)(=O)[O-]|CC(=O)[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].C1CN=C(OC1)C2=CC=CC=C2[O-].[Mn+3]
