SMILES,valid,MolWt,QED,LogP,target_query,retrieved_examples
C1=CCCC1CC,True,96.17299999999999,0.4394712288282285,2.3626000000000005,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
COC1=CCCCCC1CCCO,True,184.27899999999997,0.7269879154186147,2.4794000000000014,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
C1=CC=C=C=C=CC=CCC=CCC=C1,True,194.27699999999996,0.40325395898409055,4.026500000000003,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
CCOCCCCCCCCCCCCCCCCCCCCCCCCCC,True,410.77100000000036,0.12878572747490324,10.405199999999994,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
COC1=CC1,True,70.09100000000001,0.4454507813619982,0.9204,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
CCOCOCCCCCO,True,162.22899999999998,0.42972488071801296,1.1596,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
COC1=OC1C1CCCCOC1C1CCCCCCCC1CC1CC1,False,,,,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
CCOCCCCCCCCC,True,172.31199999999998,0.48094816377247096,3.773500000000003,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
COC1=OCOCOCOCC1OCOC1C1C1O1CO1C1=OC1CC1CCNC1,False,,,,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
CCOC,True,60.096000000000004,0.4315009980580737,0.6527000000000001,EGFR inhibitor,CCO|COC1=C(C2=C(C(=C(C=C2C=C1)Br)O)C(=O)C3=CC=C(C=C3)Cl)Br|C1=CC=C(C=C1)/C(=C\[O-])/C=O
